EventID,event_name,SampleID,area,catch_date,age,length,expertise,reader,IsApproved,strata
1,bogus small exchange,06_2015A_16914,A,01-06-2015,2,198,1,Reader.01,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,1,Reader.02,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,1,Reader.03,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,1,Reader.04,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,1,Reader.05,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,1,Reader.06,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,1,Reader.07,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,1,Reader.08,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,1,Reader.09,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,3,220,1,Reader.10,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,0,Reader.11,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,0,Reader.12,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,3,220,0,Reader.13,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,3,220,0,Reader.14,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,0,Reader.15,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,0,Reader.16,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,4,220,0,Reader.17,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,3,220,0,Reader.18,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,5,220,0,Reader.19,1,a
1,bogus small exchange,02_2009B_16886,B,01-02-2009,3,220,0,Reader.20,1,a
1,bogus small exchange,07_2015A_16916,A,01-07-2015,0,109,1,Reader.01,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.02,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.03,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,2,195,1,Reader.04,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.05,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.06,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.07,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.08,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,1,Reader.09,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,2,195,1,Reader.10,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,4,195,0,Reader.11,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.12,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.13,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.14,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.15,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.16,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.17,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.18,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.19,1,a
1,bogus small exchange,04_2009B_16888,B,01-04-2009,3,195,0,Reader.20,1,a
1,bogus small exchange,07_2015A_16916,A,01-07-2015,0,109,1,Reader.02,1,a
1,bogus small exchange,05_2009B_16882,B,01-05-2009,3,200,1,Reader.02,1,a
